Subject,Target,Response,Condition
1,accessary,accessory,A
1,ad,add,A
1,ail,ale,B
1,all,awl,B
2,allowed,aloud,A
2,bail,bale,A
2,ball,bawl,B
2,bare,bear,B
3,beach,beech,A
3,cell,sell,A
3,censor,sensor,B
3,cereal,serial,B
4,chord,cord,A
4,coarse,course,A
4,council,counsel,B
4,dear,deer,B
5,desert,dessert,A
5,dual,duel,A
5,fair,fare,B
5,feet,feat,B
6,flea,flee,A
6,flour,flower,A
6,hoarse,horse,B
6,knot,not,B
7,leach,leech,A
7,lessen,lesson,A
7,made,maid,B
7,mail,male,B
8,main,mane,A
8,mantel,mantel,A
8,morning,mourning,B
8,pedal,peddle,B
9,peer,pier,A
9,pi,pie,A
9,read,red,B
9,read,reed,B
10,rose,rows,A
10,rote,wrote,A
10,sale,sail,B
10,shear,sheer,B
11,spade,spayed,A
11,sweet,suite,A
11,through,thorough,B
11,troop,troupe,B
12,vain,vein,A
12,waive,wave,A
12,war,wore,B
12,weak,week,B
13,weather,whether,A
13,whet,wet,A
13,wrap,rap,B
13,wrung,rung,B
