Sub.ID,Response,Disease.Condition,Condition 2
1,basket,healthy,A
1,chair,healthy,B
1,clothes,healthy,A
1,flowrs,healthy,B
1,glasses,healthy,A
1,fan,healthy,B
1,windows,healthy,A
1,carpet,healthy,B
1,lamp,healthy,A
1,picture frame,healthy,B
1,remote,healthy,A
2,windows,healthy,B
2,bed,healthy,A
2,books,healthy,B
2,shelf,healthy,A
2,pictures,healthy,B
3,bacpack,healthy,A
3,chair,healthy,B
3,glasses,healthy,A
3,mirror,healthy,B
3,iphone,healthy,A
3,pillow,healthy,B
3,stereo,healthy,A
3,nightstand,healthy,B
3,computer,healthy,A
3,door,healthy,B
3,magazines,healthy,A
3,quilt,healthy,B
4,vase,healthy,A
4,blinds,healthy,B
4,computer,healthy,A
4,magazine,healthy,B
4,books,healthy,A
4,bed,healthy,B
4,blanket,healthy,A
4,carpet,healthy,B
4,dresser,healthy,A
5,bed,healthy,B
5,blankets,healthy,A
5,closet,healthy,B
5,windows,healthy,A
5,books,healthy,B
5,fan,healthy,A
6,bed,healthy,B
6,bankets,healthy,A
6,dreser,healthy,B
6,nightstand,healthy,A
6,end table,healthy,B
6,stereo,healthy,A
6,flwrs,healthy,B
6,vase,healthy,A
